,capital,latitud_dec,altitud,num_hab,zona_comarcal,longitud_dec
2445,Cuzcurrita de Río Tirón,42.54159272,520.0,496,762601,-2.96464708
2446,Cuéllar,41.40369757,876.0,9547,674001,-4.31739100
2447,Càlig,40.46204041,121.0,2080,771202,0.35396193
2448,Cànoves,41.69378551,349.0,2863,690803,2.35467704
2449,Càrcer,39.07013757,39.0,1952,774604,-0.56780586
2450,Cáceres,39.47316762,457.0,95855,701003,-6.37121092
2451,Cádiar,36.94487044,920.0,1545,611803,-3.18084098
2452,Cádiz,36.52171152,13.0,121739,611103,-6.28414575
2453,Cájar,37.13433161,729.0,4929,611801,-3.57097669
2454,Cárcar,42.39404025,422.0,1081,743104,-1.97738104
2455,Carchelejo,37.63462634,799.0,1458,612304,-3.64078720
2456,Cárdenas,42.37429785,566.0,173,762602,-2.76663994
2457,Cármenes,42.95963580,1158.0,401,672401,-5.57294481
2458,Cártama,36.71005782,108.0,24328,612903,-4.63171653
2459,Cáseda,42.52361374,436.0,1014,743102,-1.36801780
2460,Cástaras,36.93059265,1007.0,242,611803,-3.25417487
2461,Cáñar,36.92620013,1026.0,408,611803,-3.42776601
2462,Cóbdar,37.26157453,606.0,154,610401,-2.21001778
2463,Cómpeta,36.83280321,620.0,3459,612904,-3.97481810
2464,Córdoba,37.87954225,106.0,328041,611402,-4.78032455
2465,Cózar,38.66083487,858.0,1134,681302,-3.07369013
2466,Cúllar,37.58371761,892.0,4500,611802,-2.57596221
2467,Cúllar Vega,37.15344636,641.0,7139,611801,-3.67166338
2468,Cútar,36.83118045,326.0,635,612904,-4.22877880
2469,Daganzo de Arriba,40.54533857,666.0,9841,722802,-3.45842772
2470,Daimiel,39.06747719,621.0,18647,681301,-3.61161625
2471,Daimús,38.96816756,9.0,3062,774604,-0.15272664
2472,Dalías,36.82078429,411.0,3979,610403,-2.87111055
2473,Darnius,42.36877743,187.0,534,691702,2.83110073
2474,Daroca,41.11515254,782.0,2193,625002,-1.41677154
2475,Daroca de Rioja,42.37107034,726.0,53,762601,-2.58204055
2476,Darro,37.35059768,1120.0,1501,611802,-3.29325661
2477,Das,42.36086604,1221.0,220,691701,1.87037861
2478,Daya Nueva,38.11371672,8.0,1765,770303,-0.76103525
2479,Daya Vieja,38.10472480,6.0,681,770303,-0.73805702
2480,Deba,43.29467572,4.0,5450,752001,-2.35409242
2481,Degaña,42.94070799,852.0,1110,633303,-6.57111191
2482,Dehesa de Montejo,42.81904208,1090.0,136,673401,-4.50934574
2483,Dehesa de Romanos,42.64234714,951.0,36,673402,-4.42914877
2484,Dehesas Viejas,37.47372263,1008.0,766,611801,-3.55222697
2485,Dehesas de Guadix,37.59101370,654.0,453,611802,-3.10106009
2486,Deifontes,37.32594516,737.0,2574,611801,-3.59424027
2487,Deià,39.74902676,201.0,768,645401,2.64671196
2488,Deleitosa,39.64431514,568.0,772,701004,-5.64544145
2489,Deltebre,40.71730276,2.0,11831,694304,0.73844369
2490,Arteaga,43.30165303,72.0,5940,754801,-2.87764001
2491,Descargamaría,40.30265202,492.0,152,701001,-6.48682271
2492,Desojo,42.58854131,543.0,83,743104,-2.27505382
2493,Destriana,42.32593496,877.0,562,672403,-6.09423583
2494,Deza,41.46338983,884.0,246,674202,-2.02211420
2495,Dicastillo,42.59538327,554.0,639,743102,-2.02716127
2496,Diego Álvaro,40.66481529,1052.0,158,670502,-5.32606310
2497,Diezma,37.32111088,1228.0,766,611802,-3.33182232
2498,Ugarana,43.14318127,126.0,1416,754802,-2.74738646
2499,Dios le Guarde,40.64202660,814.0,147,673701,-6.31202916
2500,Tallós,42.71658036,26.0,2913,711504,-8.70231750
2501,Dolores,38.13897736,4.0,7237,770303,-0.76969869
2502,Domeño,39.66021506,353.0,698,774601,-0.67352299
2503,Domingo García,41.11501801,903.0,32,674001,-4.37790739
2504,Domingo Pérez,39.97614663,497.0,474,684502,-4.50474550
2505,Don Benito,38.95410117,278.0,37011,700601,-5.86126299
2506,Don Álvaro,38.84855612,259.0,771,700601,-6.27500576
2507,Donamaria,43.11189471,168.0,456,743101,-1.67658545
2508,Doneztebe/Santesteban,43.13151175,122.0,1644,743101,-1.66924075
2509,Donhierro,41.11664541,801.0,105,674001,-4.69429290
2510,Donjimeno,40.96004917,883.0,88,670501,-4.84498084
2511,Donostia/San Sebastián,43.31717158,7.0,186126,752001,-1.98191785
2512,Donvidas,41.08863948,868.0,41,670501,-4.80472375
2513,Dos Aguas,39.28774033,356.0,418,774604,-0.79902632
2514,Dos Hermanas,37.28894862,52.0,130369,614102,-5.91334407
2515,Dos Torres,38.44549239,587.0,2442,611401,-4.89495696
2516,Dosbarrios,39.88070774,707.0,2302,684504,-3.48459445
