,SO2(001):,NO(007):,NO2(008):,O3(014):,VEL(081):,DIR(082):,TEM(083):,HUM(086):,PRE(087):,RAD(088):,LLU(089):,PM10(010):,date,estacion
78,+00000.56,+00000.31,+00001.83,+00063.51,+00002.68,+00158.58,+00017.16,+00084.73,+00973.00,+00044.89,+00000.00,+00000.00,31-10-2024 13:10 ,11
79,+00000.44,+00000.26,+00001.89,+00063.06,+00003.29,+00153.66,+00016.91,+00084.64,+00973.00,+00052.02,+00000.00,+00000.00,31-10-2024 13:20 ,11
80,+00000.50,+00000.26,+00001.88,+00065.35,+00002.80,+00158.06,+00016.80,+00084.37,+00972.99,+00067.70,+00000.00,+00000.00,31-10-2024 13:30 ,11
81,+00000.41,+00000.30,+00001.89,+00067.30,+00003.20,+00151.25,+00016.80,+00083.99,+00972.85,+00063.36,+00000.00,+00000.00,31-10-2024 13:40 ,11
82,+00000.62,+00000.26,+00001.78,+00065.43,+00003.36,+00133.95,+00016.78,+00084.47,+00972.70,+00059.12,+00000.00,+00000.00,31-10-2024 13:50 ,11
83,+00000.00,+00000.00,+00000.00,+00000.00,+00000.00,+00000.00,+00000.00,+00000.00,+00000.00,+00000.00,+00000.00,+00000.00,31-10-2024 14:00 ,11
84,,,,,,,,,,,,,,11
85,+00000.57,+00000.12,+00001.34,+00077.45,+00002.07,+00316.04,+00019.68,+00100.00,+01011.00,+00021.93,+00000.00,+00000.00,31-10-2024 00:10 ,10
86,+00000.52,+00000.17,+00001.26,+00077.06,+00001.86,+00337.36,+00019.64,+00100.00,+01011.00,+00021.75,+00000.00,+00000.00,31-10-2024 00:20 ,10
87,+00000.53,+00000.15,+00001.21,+00076.86,+00001.91,+00338.09,+00019.68,+00100.00,+01011.00,+00021.45,+00000.00,+00000.00,31-10-2024 00:30 ,10
88,+00000.39,+00000.16,+00001.20,+00078.68,+00002.58,+00306.73,+00019.70,+00100.00,+01011.00,+00021.31,+00000.00,+00000.00,31-10-2024 00:40 ,10
89,+00000.36,+00000.14,+00001.21,+00077.17,+00002.61,+00315.00,+00019.71,+00100.00,+01011.00,+00021.12,+00000.00,+00000.00,31-10-2024 00:50 ,10
90,+00000.65,+00000.15,+00001.18,+00077.78,+00003.34,+00311.45,+00019.67,+00100.00,+01010.16,+00021.37,+00000.00,+00000.00,31-10-2024 01:00 ,10
91,+00000.70,+00000.17,+00001.20,+00078.15,+00003.59,+00308.51,+00019.60,+00100.00,+01010.07,+00021.83,+00000.00,+00000.00,31-10-2024 01:10 ,10
92,+00000.43,+00000.16,+00001.27,+00076.40,+00002.16,+00302.40,+00019.61,+00100.00,+01010.95,+00021.38,+00000.00,+00000.00,31-10-2024 01:20 ,10
93,+00000.51,+00000.15,+00001.32,+00076.46,+00001.48,+00315.56,+00019.64,+00100.00,+01011.00,+00021.06,+00000.00,+00000.00,31-10-2024 01:30 ,10
94,+00000.49,+00000.14,+00001.34,+00076.13,+00001.46,+00356.22,+00019.69,+00100.00,+01011.00,+00021.00,+00000.00,+00000.00,31-10-2024 01:40 ,10
95,+00000.69,+00000.14,+00001.28,+00076.34,+00001.64,+00341.27,+00019.67,+00100.00,+01011.00,+00021.40,+00000.00,+00000.00,31-10-2024 01:50 ,10
96,+00000.39,+00000.15,+00001.24,+00075.95,+00002.59,+00318.28,+00019.53,+00100.00,+01010.68,+00021.81,+00000.00,+00000.00,31-10-2024 02:00 ,10
97,+00000.39,+00000.15,+00001.17,+00075.96,+00003.28,+00304.29,+00019.43,+00100.00,+01010.00,+00021.81,+00000.00,+00000.00,31-10-2024 02:10 ,10
98,+00000.51,+00000.15,+00001.18,+00076.40,+00003.29,+00306.66,+00019.56,+00100.00,+01010.00,+00021.48,+00000.00,+00000.00,31-10-2024 02:20 ,10
99,+00000.75,+00000.15,+00001.09,+00076.66,+00003.51,+00306.78,+00019.60,+00100.00,+01010.00,+00021.38,+00000.00,+00000.00,31-10-2024 02:30 ,10
100,+00000.58,+00000.16,+00001.12,+00076.27,+00002.29,+00310.70,+00019.68,+00100.00,+01010.00,+00021.28,+00000.00,+00000.00,31-10-2024 02:40 ,10
101,+00000.45,+00000.15,+00001.10,+00077.02,+00002.27,+00309.16,+00019.64,+00100.00,+01010.00,+00021.41,+00000.00,+00000.00,31-10-2024 02:50 ,10
102,+00000.56,+00000.15,+00001.17,+00077.05,+00001.92,+00326.32,+00019.61,+00100.00,+01010.58,+00021.59,+00000.00,+00000.00,31-10-2024 03:00 ,10
103,+00000.65,+00000.15,+00001.01,+00077.78,+00002.30,+00339.75,+00019.57,+00100.00,+01011.00,+00021.75,+00000.00,+00000.00,31-10-2024 03:10 ,10
104,+00000.49,+00000.15,+00001.06,+00078.68,+00002.24,+00340.18,+00019.52,+00099.85,+01011.00,+00021.20,+00000.00,+00000.00,31-10-2024 03:20 ,10
105,+00000.38,+00000.13,+00001.12,+00076.78,+00002.53,+00350.89,+00019.61,+00100.00,+01011.00,+00021.07,+00000.00,+00000.00,31-10-2024 03:30 ,10
106,+00000.43,+00000.14,+00001.31,+00074.94,+00002.33,+00318.10,+00019.62,+00100.00,+01011.00,+00021.17,+00000.00,+00000.00,31-10-2024 03:40 ,10
107,+00000.72,+00000.14,+00001.41,+00074.38,+00002.54,+00331.64,+00019.57,+00100.00,+01011.00,+00021.45,+00000.00,+00000.00,31-10-2024 03:50 ,10
108,+00000.53,+00000.14,+00001.54,+00074.85,+00002.45,+00340.78,+00019.50,+00100.00,+01011.00,+00021.75,+00000.00,+00000.00,31-10-2024 04:00 ,10
109,+00000.42,+00000.13,+00001.66,+00073.64,+00002.37,+00354.62,+00019.54,+00100.00,+01011.00,+00021.51,+00000.00,+00000.00,31-10-2024 04:10 ,10
110,+00000.53,+00000.15,+00006.62,+00069.82,+00003.03,+00026.65,+00019.59,+00100.00,+01011.00,+00021.11,+00000.00,+00000.00,31-10-2024 04:20 ,10
111,+00000.57,+00000.17,+00014.02,+00059.92,+00002.59,+00014.98,+00019.64,+00100.00,+01011.00,+00021.21,+00000.00,+00000.00,31-10-2024 04:30 ,10
112,+00000.50,+00000.14,+00001.98,+00073.18,+00001.33,+00339.81,+00019.62,+00100.00,+01011.00,+00021.55,+00000.00,+00000.00,31-10-2024 04:40 ,10
113,+00000.37,+00000.15,+00001.54,+00073.72,+00001.96,+00026.26,+00019.60,+00100.00,+01011.00,+00021.68,+00000.00,+00000.00,31-10-2024 04:50 ,10
114,+00000.48,+00000.16,+00001.45,+00073.72,+00002.26,+00331.32,+00019.60,+00100.00,+01011.00,+00021.81,+00000.00,+00000.00,31-10-2024 05:00 ,10
